medal_type,name,gender,country_code,nationality,discipline,birth_date,is_medallist
Gold ,TITA Ruggero,Male,ITA,Italy,Sailing,1992-03-20,True
Gold ,BANTI Caterina Marianna,Female,ITA,Italy,Sailing,1987-06-13,True
Silver ,MAJDALANI Mateo,Male,ARG,Argentina,Sailing,1994-07-15,True
Silver ,BOSCO Eugenia,Female,ARG,Argentina,Sailing,1997-06-12,True
Bronze ,WILKINSON Micah,Male,NZL,New Zealand,Sailing,1996-02-06,True
Bronze ,DAWSON Erica,Female,NZL,New Zealand,Sailing,1994-07-24,True
Gold ,ADJIBI Eliezer,Male,CAN,Canada,Athletics,2000-09-23,False
Gold ,ASEMOTA Duan,Male,CAN,Canada,Athletics,1996-08-29,False
Gold ,BLAKE Jerome,Male,CAN,Canada,Athletics,1995-08-18,True
Gold ,BROWN Aaron,Male,CAN,Canada,Athletics,1992-05-27,True
Gold ,De GRASSE Andre,Male,CAN,Canada,Athletics,1994-11-10,True
Gold ,RODNEY Brendon,Male,CAN,Canada,Athletics,1992-04-09,True
Silver ,MASWANGANYI Shaun,Male,RSA,South Africa,Athletics,2001-02-01,True
Silver ,NKOANA Bradley,Male,RSA,South Africa,Athletics,2005-01-27,True
Silver ,RICHARDSON Benjamin,Male,RSA,South Africa,Athletics,2003-12-19,False
Silver ,SIMBINE Akani,Male,RSA,South Africa,Athletics,1993-09-21,True
Silver ,WALAZA Bayanda,Male,RSA,South Africa,Athletics,2006-02-09,True
Bronze ,AZU Jeremiah,Male,GBR,Great Britain,Athletics,2001-05-15,True
Bronze ,HINCHLIFFE Louie,Male,GBR,Great Britain,Athletics,2002-07-18,True
Bronze ,HUGHES Zharnel,Male,GBR,Great Britain,Athletics,1995-07-13,True
Bronze ,KILTY Richard,Male,GBR,Great Britain,Athletics,1989-09-02,True
Bronze ,MITCHELL-BLAKE Nethaneel,Male,GBR,Great Britain,Athletics,1994-04-02,True
Gold ,DAVIS Tamari,Female,USA,United States,Athletics,2003-02-15,False
Gold ,HOBBS Aleia,Female,USA,United States,Athletics,1996-02-24,False
Gold ,JEFFERSON Melissa,Female,USA,United States,Athletics,2001-02-21,True
Gold ,RICHARDSON Sha'carri,Female,USA,United States,Athletics,2000-03-25,True
Gold ,TERRY Twanisha,Female,USA,United States,Athletics,1999-01-24,True
Gold ,THOMAS Gabrielle,Female,USA,United States,Athletics,1996-12-07,True
Silver ,ASHER-SMITH Dina,Female,GBR,Great Britain,Athletics,1995-12-04,True
Silver ,HENRY Desiree,Female,GBR,Great Britain,Athletics,1995-08-26,True
Silver ,HUNT Amy,Female,GBR,Great Britain,Athletics,2002-05-15,True
Silver ,LANSIQUOT Imani,Female,GBR,Great Britain,Athletics,1997-12-17,True
Silver ,NEITA Daryll,Female,GBR,Great Britain,Athletics,1996-08-29,True
Silver ,WILLIAMS Bianca,Female,GBR,Great Britain,Athletics,1993-12-18,True
Bronze ,BURGHARDT Alexandra,Female,GER,Germany,Athletics,1994-04-28,True
Bronze ,HAASE Rebekka,Female,GER,Germany,Athletics,1993-01-02,True
Bronze ,JUNK Sophia,Female,GER,Germany,Athletics,1999-03-01,True
Bronze ,LUECKENKEMPER Gina,Female,GER,Germany,Athletics,1996-11-21,True
Bronze ,MAYER Lisa,Female,GER,Germany,Athletics,1996-05-02,True
Gold ,SILVA RAMOS Ana Patricia,Female,BRA,Brazil,Beach Volleyball,1997-09-29,True
Gold ,SANTOS LISBOA Eduarda,Female,BRA,Brazil,Beach Volleyball,1998-08-01,True
Silver ,HUMANA-PAREDES Melissa,Female,CAN,Canada,Beach Volleyball,1992-10-10,True
Silver ,WILKERSON Brandie,Female,CAN,Canada,Beach Volleyball,1992-07-01,True
Bronze ,HUEBERLI Tanja,Female,SUI,Switzerland,Beach Volleyball,1992-08-27,True
Bronze ,BRUNNER Nina,Female,SUI,Switzerland,Beach Volleyball,1995-10-14,True
Gold ,SCHOPF Jacob,Male,GER,Germany,Canoe Sprint,1999-06-08,True
Gold ,LEMKE Max,Male,GER,Germany,Canoe Sprint,1996-12-02,True
Silver ,NADAS Bence,Male,HUN,Hungary,Canoe Sprint,1996-04-17,True
Silver ,TOTKA Sandor,Male,HUN,Hungary,Canoe Sprint,1994-07-27,True
Bronze ,van der WESTHUYZEN Jean,Male,AUS,Australia,Canoe Sprint,1998-12-09,True
Bronze ,GREEN Tom,Male,AUS,Australia,Canoe Sprint,1999-06-03,True
Gold ,XU Shixiao,Female,CHN,China,Canoe Sprint,1992-02-16,True
Gold ,SUN Mengya,Female,CHN,China,Canoe Sprint,2001-05-03,True
Silver ,LUZAN Liudmyla,Female,UKR,Ukraine,Canoe Sprint,1997-03-27,True
Silver ,RYBACHOK Anastasiia,Female,UKR,Ukraine,Canoe Sprint,1998-04-13,True
Bronze ,MACKENZIE Sloan,Female,CAN,Canada,Canoe Sprint,2002-05-16,True
Bronze ,VINCENT Katie,Female,CAN,Canada,Canoe Sprint,1996-03-12,True
Gold ,CARRINGTON Lisa,Female,NZL,New Zealand,Canoe Sprint,1989-06-23,True
Gold ,HOSKIN Alicia,Female,NZL,New Zealand,Canoe Sprint,2000-02-06,True
Silver ,CSIPES Tamara,Female,HUN,Hungary,Canoe Sprint,1989-08-24,True
Silver ,GAZSO Alida Dora,Female,HUN,Hungary,Canoe Sprint,2000-04-18,True
Bronze ,PASZEK Paulina,Female,GER,Germany,Canoe Sprint,1997-10-26,True
Bronze ,HAKE Jule Marie,Female,GER,Germany,Canoe Sprint,1999-09-24,True
Bronze ,PUPP Noemi,Female,HUN,Hungary,Canoe Sprint,1998-07-28,True
Bronze ,FOJT Sara,Female,HUN,Hungary,Canoe Sprint,2003-12-03,True
Gold ,GUAZZINI Vittoria,Female,ITA,Italy,Cycling Track,2000-12-26,True
Gold ,CONSONNI Chiara,Female,ITA,Italy,Cycling Track,1999-06-24,True
Silver ,EVANS Neah,Female,GBR,Great Britain,Cycling Track,1990-08-01,True
Silver ,BARKER Elinor,Female,GBR,Great Britain,Cycling Track,1994-09-07,True
Bronze ,van BELLE Lisa,Female,NED,Netherlands,Cycling Track,2004-01-30,True
Bronze ,van der DUIN Maike,Female,NED,Netherlands,Cycling Track,2001-09-12,True
Gold ,TENAS Arnau,Male,ESP,Spain,Football,2001-05-30,True
Gold ,PUBILL Marc,Male,ESP,Spain,Football,2003-06-20,True
Gold ,MIRANDA Juan,Male,ESP,Spain,Football,2000-01-19,True
Gold ,GARCIA Eric,Male,ESP,Spain,Football,2001-01-09,True
Gold ,CUBARSI Pau,Male,ESP,Spain,Football,2007-01-22,True
Gold ,BARRIOS Pablo,Male,ESP,Spain,Football,2003-06-15,True
Gold ,LOPEZ Diego,Male,ESP,Spain,Football,2002-05-13,True
Gold ,TURRIENTES Benat,Male,ESP,Spain,Football,2002-01-31,True
Gold ,RUIZ Abel,Male,ESP,Spain,Football,2000-01-28,True
Gold ,BAENA Alex,Male,ESP,Spain,Football,2001-07-20,True
Gold ,LOPEZ Fermin,Male,ESP,Spain,Football,2003-05-11,True
Gold ,PACHECO Jon,Male,ESP,Spain,Football,2001-01-08,True
Gold ,GARCIA Joan,Male,ESP,Spain,Football,2001-05-04,True
Gold ,OROZ Aimar,Male,ESP,Spain,Football,2001-11-27,True
Gold ,GUTIERREZ Miguel,Male,ESP,Spain,Football,2001-07-27,True
Gold ,BERNABE Adrian,Male,ESP,Spain,Football,2001-05-26,True
Gold ,GOMEZ Sergio,Male,ESP,Spain,Football,2000-09-04,True
Gold ,OMORODION Samu,Male,ESP,Spain,Football,2004-05-05,True
Gold ,MOSQUERA Cristhian,Male,ESP,Spain,Football,2004-06-27,True
Gold ,SANCHEZ Juanlu,Male,ESP,Spain,Football,2003-08-15,True
Gold ,CAMELLO Sergio,Male,ESP,Spain,Football,2001-02-10,True
Gold ,ITURBE Alejandro,Male,ESP,Spain,Football,2003-09-02,True
Silver ,NKAMBADIO Obed,Male,FRA,France,Football,2003-02-07,True
Silver ,LUKEBA Castello,Male,FRA,France,Football,2002-12-17,True
Silver ,TRUFFERT Adrien,Male,FRA,France,Football,2001-11-20,True
Silver ,BADE Loic,Male,FRA,France,Football,2000-04-11,True
Silver ,SILDILLIA Kiliann,Male,FRA,France,Football,2002-05-16,True
Silver ,KONE Manu,Male,FRA,France,Football,2001-05-17,True
Silver ,OLISE Michael,Male,FRA,France,Football,2001-12-12,True
Silver ,AKLIOUCHE Maghnes,Male,FRA,France,Football,2002-02-25,True
Silver ,KALIMUENDO Arnaud,Male,FRA,France,Football,2002-01-20,True
Silver ,LACAZETTE Alexandre,Male,FRA,France,Football,1991-05-28,True
Silver ,DOUE Desire,Male,FRA,France,Football,2005-06-03,True
Silver ,MILLOT Enzo,Male,FRA,France,Football,2002-07-17,True
Silver ,CHOTARD Joris,Male,FRA,France,Football,2001-09-24,True
Silver ,MATETA Jean-Philippe,Male,FRA,France,Football,1997-06-28,True
Silver ,LOCKO Bradley,Male,FRA,France,Football,2002-05-06,True
Silver ,RESTES Guillaume,Male,FRA,France,Football,2005-03-11,True
Silver ,MAGASSA Soungoutou,Male,FRA,France,Football,2003-10-08,True
Silver ,CHERKI Rayan,Male,FRA,France,Football,2003-08-17,True
Silver ,MATSIMA Chrislain,Male,FRA,France,Football,2002-05-15,True
Silver ,DIOUF Andy,Male,FRA,France,Football,2003-05-17,True
Silver ,LEPENANT Johann,Male,FRA,France,Football,2002-10-22,True
Bronze ,FROHMS Merle,Female,GER,Germany,Football,1995-01-28,True
Bronze ,LINDER Sarai,Female,GER,Germany,Football,1999-10-26,True
Bronze ,HENDRICH Kathrin,Female,GER,Germany,Football,1992-04-06,True
Bronze ,SCHULZE SOLANO Bibiane,Female,GER,Germany,Football,1998-11-12,True
Bronze ,HEGERING Marina,Female,GER,Germany,Football,1990-04-17,True
Bronze ,MINGE Janina,Female,GER,Germany,Football,1999-06-11,True
Bronze ,SCHUELLER Lea,Female,GER,Germany,Football,1997-11-12,True
Bronze ,LOHMANN Sydney,Female,GER,Germany,Football,2000-06-19,True
Bronze ,NUESKEN Sjoeke,Female,GER,Germany,Football,2001-01-22,True
Bronze ,FREIGANG Laura,Female,GER,Germany,Football,1998-02-01,True
Bronze ,POPP Alexandra,Female,GER,Germany,Football,1991-04-06,True
Bronze ,BERGER Ann-Katrin,Female,GER,Germany,Football,1990-10-09,True
Bronze ,DOORSOUN Sara,Female,GER,Germany,Football,1991-11-17,True
Bronze ,SENSS Elisa,Female,GER,Germany,Football,1997-10-01,True
Bronze ,GWINN Giulia,Female,GER,Germany,Football,1999-07-02,True
Bronze ,BRAND Jule,Female,GER,Germany,Football,2002-10-16,True
Bronze ,BUEHL Klara,Female,GER,Germany,Football,2000-12-07,True
Bronze ,ENDEMANN Vivien,Female,GER,Germany,Football,2001-08-07,True
Bronze ,RAUCH Felicitas,Female,GER,Germany,Football,1996-04-30,True
Bronze ,ANYOMI Nicole,Female,GER,Germany,Football,2000-02-10,True
Gold ,VEENENDAAL Anne,Female,NED,Netherlands,Hockey,1995-09-07,True
Gold ,FOKKE Luna Noa,Female,NED,Netherlands,Hockey,2001-03-09,True
Gold ,MOES Freeke,Female,NED,Netherlands,Hockey,1998-11-29,True
Gold ,POST Lisa,Female,NED,Netherlands,Hockey,1999-01-27,True
Gold ,de WAARD Xan,Female,NED,Netherlands,Hockey,1995-11-08,True
Gold ,JANSEN Yibbi,Female,NED,Netherlands,Hockey,1999-11-18,True
Gold ,van LAARHOVEN Renee,Female,NED,Netherlands,Hockey,1997-10-15,True
Gold ,ALBERS Felice,Female,NED,Netherlands,Hockey,1999-12-27,True
Gold ,VERSCHOOR Maria,Female,NED,Netherlands,Hockey,1994-04-22,True
Gold ,KOOLEN Sanne,Female,NED,Netherlands,Hockey,1996-03-23,True
Gold ,MATLA Frederique,Female,NED,Netherlands,Hockey,1996-12-28,True
Gold ,BURG Joosje,Female,NED,Netherlands,Hockey,1997-07-29,True
Gold ,JOCHEMS Marleen,Female,NED,Netherlands,Hockey,2000-01-24,True
Gold ,SANDERS Pien,Female,NED,Netherlands,Hockey,1998-06-11,True
Gold ,VEEN Marijn,Female,NED,Netherlands,Hockey,1996-11-18,True
Gold ,NUNNINK Laura,Female,NED,Netherlands,Hockey,1995-01-26,True
Gold ,DICKE Pien,Female,NED,Netherlands,Hockey,1999-08-28,True
Silver ,YE Jiao,Female,CHN,China,Hockey,1994-10-21,True
Silver ,GU Bingfeng,Female,CHN,China,Hockey,1994-01-25,True
Silver ,YANG Liu,Female,CHN,China,Hockey,1998-09-01,True
Silver ,ZHANG Ying,Female,CHN,China,Hockey,1998-08-29,True
Silver ,CHEN Yi,Female,CHN,China,Hockey,1997-01-28,True
Silver ,MA Ning,Female,CHN,China,Hockey,2000-09-29,True
Silver ,LI Hong,Female,CHN,China,Hockey,1999-05-31,True
Silver ,OU Zixia,Female,CHN,China,Hockey,1995-09-24,True
Silver ,DAN Wen,Female,CHN,China,Hockey,1999-06-14,True
Silver ,ZOU Meirong,Female,CHN,China,Hockey,2000-09-01,True
Silver ,HE Jiangxin,Female,CHN,China,Hockey,1997-08-19,True
Silver ,FAN Yunxia,Female,CHN,China,Hockey,2002-12-07,True
Silver ,CHEN Yang,Female,CHN,China,Hockey,1997-02-15,True
Silver ,XU Wenyu,Female,CHN,China,Hockey,1995-12-06,True
Silver ,ZHONG Jiaqi,Female,CHN,China,Hockey,1999-09-23,True
Silver ,TAN Jinzhuang,Female,CHN,China,Hockey,2003-01-27,True
Silver ,YU Anhui,Female,CHN,China,Hockey,2001-04-30,True
Bronze ,TOCCALINO Sofia,Female,ARG,Argentina,Hockey,1997-03-20,True
Bronze ,GORZELANY Agustina,Female,ARG,Argentina,Hockey,1996-03-11,True
Bronze ,RAPOSO RUIZ de los LLANOS Valentina,Female,ARG,Argentina,Hockey,2003-01-28,True
Bronze ,ALONSO Agostina,Female,ARG,Argentina,Hockey,1995-10-01,True
Bronze ,ALBERTARRIO Agustina,Female,ARG,Argentina,Hockey,1993-01-01,True
Bronze ,GRANATTO Maria,Female,ARG,Argentina,Hockey,1995-04-21,True
Bronze ,COSENTINO Cristina,Female,ARG,Argentina,Hockey,1997-12-22,True
Bronze ,SANCHEZ MOCCIA Rocio,Female,ARG,Argentina,Hockey,1988-08-02,True
Bronze ,SAUZE VALDEZ Victoria,Female,ARG,Argentina,Hockey,1991-07-21,True
Bronze ,CAIRO Sofia,Female,ARG,Argentina,Hockey,2002-10-08,True
Bronze ,TRINCHINETTI Eugenia,Female,ARG,Argentina,Hockey,1997-07-17,True
Bronze ,CASAS Lara,Female,ARG,Argentina,Hockey,2004-06-22,True
Bronze ,CASTELLARO MORELLO Juana,Female,ARG,Argentina,Hockey,2005-03-29,True
Bronze ,CAMPOY Maria,Female,ARG,Argentina,Hockey,1990-10-06,True
Bronze ,JANKUNAS Julieta,Female,ARG,Argentina,Hockey,1999-01-20,True
Bronze ,DIAZ de ARMAS Zoe,Female,ARG,Argentina,Hockey,2006-06-05,True
Gold ,FAN Zhendong,Male,CHN,China,Table Tennis,1997-01-22,True
Gold ,MA Long,Male,CHN,China,Table Tennis,1988-10-20,True
Gold ,WANG Chuqin,Male,CHN,China,Table Tennis,2000-05-11,True
Silver ,KALLBERG Anton,Male,SWE,Sweden,Table Tennis,1997-08-17,True
Silver ,KARLSSON Kristian,Male,SWE,Sweden,Table Tennis,1991-08-06,True
Silver ,MOREGARD Truls,Male,SWE,Sweden,Table Tennis,2002-02-16,True
Bronze ,GAUZY Simon,Male,FRA,France,Table Tennis,1994-10-25,True
Bronze ,LEBRUN Alexis,Male,FRA,France,Table Tennis,2003-08-27,True
Bronze ,LEBRUN Felix,Male,FRA,France,Table Tennis,2006-09-12,True
Bronze ,ANDERSON Matthew,Male,USA,United States,Volleyball,1987-04-18,True
Bronze ,AVERILL Taylor,Male,USA,United States,Volleyball,1992-03-05,True
Bronze ,CHRISTENSON Micah,Male,USA,United States,Volleyball,1993-05-08,True
Bronze ,DEFALCO Torey,Male,USA,United States,Volleyball,1997-04-10,True
Bronze ,HOLT Maxwell,Male,USA,United States,Volleyball,1987-03-12,True
Bronze ,JAESCHKE Thomas,Male,USA,United States,Volleyball,1993-09-04,True
Bronze ,JENDRYK II Jeffrey,Male,USA,United States,Volleyball,1995-09-15,True
Bronze ,MA'A Micah,Male,USA,United States,Volleyball,1997-04-16,True
Bronze ,MUAGUTUTIA Garrett,Male,USA,United States,Volleyball,1988-02-26,True
Bronze ,RUSSELL Aaron,Male,USA,United States,Volleyball,1993-06-04,True
Bronze ,SHOJI Erik,Male,USA,United States,Volleyball,1989-08-24,True
Bronze ,SMITH David,Male,USA,United States,Volleyball,1985-05-15,True
Bronze ,ENSING Kyle,Male,USA,United States,Volleyball,1997-03-06,False
Gold ,WANG Liuyi,Female,CHN,China,Artistic Swimming,1997-01-16,True
Gold ,WANG Qianyi,Female,CHN,China,Artistic Swimming,1997-01-16,True
Silver ,SHORTMAN Kate,Female,GBR,Great Britain,Artistic Swimming,2001-11-19,True
Silver ,THORPE Isabelle,Female,GBR,Great Britain,Artistic Swimming,2001-03-04,True
Bronze ,de BROUWER Bregje,Female,NED,Netherlands,Artistic Swimming,1999-03-09,True
Bronze ,de BROUWER Noortje,Female,NED,Netherlands,Artistic Swimming,1999-03-09,True
Gold ,BAILEY Christopher,Male,USA,United States,Athletics,2000-05-29,True
Gold ,BENJAMIN Rai,Male,USA,United States,Athletics,1997-07-27,True
Gold ,DEADMON Bryce,Male,USA,United States,Athletics,1997-03-26,True
Gold ,HALL Quincy,Male,USA,United States,Athletics,1998-07-31,False
Gold ,LINDSEY Courtney,Male,USA,United States,Athletics,1998-11-18,False
Gold ,NORMAN Michael,Male,USA,United States,Athletics,1997-12-03,False
Gold ,NORWOOD Vernon,Male,USA,United States,Athletics,1992-04-10,True
Gold ,WILSON Quincy,Male,USA,United States,Athletics,2008-01-08,True
Silver ,EPPIE Lee Bhekempilo,Male,BOT,Botswana,Athletics,1999-05-18,False
Silver ,KEBINATSHIPI Busang Collen,Male,BOT,Botswana,Athletics,2004-02-13,True
Silver ,NDORI Bayapo,Male,BOT,Botswana,Athletics,1999-06-20,True
Silver ,PESELA Anthony,Male,BOT,Botswana,Athletics,2002-06-09,True
Silver ,SCOTCH Leungo,Male,BOT,Botswana,Athletics,1996-02-28,False
Silver ,TEBOGO Letsile,Male,BOT,Botswana,Athletics,2003-06-07,True
Bronze ,DAVEY Lewis,Male,GBR,Great Britain,Athletics,2000-10-24,True
Bronze ,DOBSON Charles,Male,GBR,Great Britain,Athletics,1999-10-20,True
Bronze ,HARRIES Toby,Male,GBR,Great Britain,Athletics,1998-09-30,True
Bronze ,HAYDOCK-WILSON Alex,Male,GBR,Great Britain,Athletics,1999-07-28,True
Bronze ,HUDSON-SMITH Matthew,Male,GBR,Great Britain,Athletics,1994-10-26,True
Bronze ,REARDON Samuel,Male,GBR,Great Britain,Athletics,2003-10-30,True
Bronze ,CARVELL Charlie,Male,GBR,Great Britain,Athletics,2004-06-30,False
Gold ,BROWN Kaylyn,Female,USA,United States,Athletics,2004-12-31,True
Gold ,BUTLER Aaliyah,Female,USA,United States,Athletics,2003-11-05,True
Gold ,ELLIS Kendall,Female,USA,United States,Athletics,1996-03-08,False
Gold ,HAYES Quanera,Female,USA,United States,Athletics,1992-03-07,True
Gold ,HOLMES Alexis,Female,USA,United States,Athletics,2000-01-28,True
Gold ,LITTLE Shamier,Female,USA,United States,Athletics,1995-03-20,True
Gold ,McLAUGHLIN-LEVRONE Sydney,Female,USA,United States,Athletics,1999-08-07,True
Gold ,THOMAS Gabrielle,Female,USA,United States,Athletics,1996-12-07,True
Silver ,BOL Femke,Female,NED,Netherlands,Athletics,2000-02-23,True
Silver ,de WITTE Lisanne,Female,NED,Netherlands,Athletics,1992-09-10,True
Silver ,KLAVER Lieke,Female,NED,Netherlands,Athletics,1998-08-20,True
Silver ,PEETERS Cathelijn,Female,NED,Netherlands,Athletics,1996-11-06,True
Silver ,SAALBERG Eveline,Female,NED,Netherlands,Athletics,1998-07-30,True
Silver ,van de WIEL Anne,Female,NED,Netherlands,Athletics,1997-06-04,False
Silver ,van der SCHOOT Myrte,Female,NED,Netherlands,Athletics,2004-04-16,True
Bronze ,ANNING Amber,Female,GBR,Great Britain,Athletics,2000-11-18,True
Bronze ,JOHN Yemi Mary,Female,GBR,Great Britain,Athletics,2003-05-03,True
Bronze ,KELLY Hannah,Female,GBR,Great Britain,Athletics,2000-12-20,True
Bronze ,NIELSEN Laviai,Female,GBR,Great Britain,Athletics,1996-03-13,True
Bronze ,NIELSEN Lina,Female,GBR,Great Britain,Athletics,1996-03-13,True
Bronze ,OHURUOGU Victoria,Female,GBR,Great Britain,Athletics,1993-02-28,True
Bronze ,WILLIAMS Jodie,Female,GBR,Great Britain,Athletics,1993-09-28,True
Bronze ,YEARGIN Nicole,Female,GBR,Great Britain,Athletics,1997-08-11,True
Gold ,CURRY Stephen,Male,USA,United States,Basketball,1988-03-14,True
Gold ,EDWARDS Anthony,Male,USA,United States,Basketball,2001-08-05,True
Gold ,JAMES LeBron,Male,USA,United States,Basketball,1984-12-30,True
Gold ,DURANT Kevin,Male,USA,United States,Basketball,1988-09-29,True
Gold ,WHITE Derrick,Male,USA,United States,Basketball,1994-07-02,True
Gold ,HALIBURTON Tyrese,Male,USA,United States,Basketball,2000-02-29,True
Gold ,TATUM Jayson,Male,USA,United States,Basketball,1998-03-03,True
Gold ,EMBIID Joel,Male,USA,United States,Basketball,1994-03-16,True
Gold ,HOLIDAY Jrue,Male,USA,United States,Basketball,1990-06-12,True
Gold ,ADEBAYO Bam,Male,USA,United States,Basketball,1997-07-18,True
Gold ,DAVIS Anthony,Male,USA,United States,Basketball,1993-03-11,True
Gold ,BOOKER Devin,Male,USA,United States,Basketball,1996-10-30,True
Silver ,NTILIKINA Frank,Male,FRA,France,Basketball,1998-07-28,True
Silver ,BATUM Nicolas,Male,FRA,France,Basketball,1988-12-14,True
Silver ,ALBICY Andrew,Male,FRA,France,Basketball,1990-03-21,True
Silver ,YABUSELE Guerschon,Male,FRA,France,Basketball,1995-12-17,True
Silver ,CORDINIER Isaia,Male,FRA,France,Basketball,1996-11-28,True
Silver ,FOURNIER Evan,Male,FRA,France,Basketball,1992-10-29,True
Silver ,de COLO Nando,Male,FRA,France,Basketball,1987-06-23,True
Silver ,LESSORT Mathias,Male,FRA,France,Basketball,1995-09-29,True
Silver ,GOBERT Rudy,Male,FRA,France,Basketball,1992-06-26,True
Silver ,WEMBANYAMA Victor,Male,FRA,France,Basketball,2004-01-04,True
Silver ,STRAZEL Matthew,Male,FRA,France,Basketball,2002-08-05,True
Silver ,COULIBALY Bilal,Male,FRA,France,Basketball,2004-07-26,True
Bronze ,PLAVSIC Uros,Male,SRB,Serbia,Basketball,1998-12-22,True
Bronze ,PETRUSEV Fili,Male,SRB,Serbia,Basketball,2000-04-15,True
Bronze ,JOVIC Nikola,Male,SRB,Serbia,Basketball,2003-06-09,True
Bronze ,BOGDANOVIC Bogdan,Male,SRB,Serbia,Basketball,1992-08-18,True
Bronze ,MARINKOVIC Vanja,Male,SRB,Serbia,Basketball,1997-01-09,True
Bronze ,DOBRIC Ognjen,Male,SRB,Serbia,Basketball,1994-10-27,True
Bronze ,JOKIC Nikola,Male,SRB,Serbia,Basketball,1995-02-19,True
Bronze ,MICIC Vasilije,Male,SRB,Serbia,Basketball,1994-01-13,True
Bronze ,GUDURIC Marko,Male,SRB,Serbia,Basketball,1995-03-08,True
Bronze ,DAVIDOVAC Dejan,Male,SRB,Serbia,Basketball,1995-01-17,True
Bronze ,AVRAMOVIC Aleksa,Male,SRB,Serbia,Basketball,1994-10-25,True
Bronze ,MILUTINOV Nikola,Male,SRB,Serbia,Basketball,1994-12-30,True
Gold ,AHMAN David,Male,SWE,Sweden,Beach Volleyball,2001-12-20,True
Gold ,HELLVIG Jonatan,Male,SWE,Sweden,Beach Volleyball,2001-10-05,True
Silver ,EHLERS Nils,Male,GER,Germany,Beach Volleyball,1994-02-04,True
Silver ,WICKLER Clemens,Male,GER,Germany,Beach Volleyball,1995-04-28,True
Bronze ,MOL Anders Berntsen,Male,NOR,Norway,Beach Volleyball,1997-07-02,True
Bronze ,SOERUM Christian Sandlie,Male,NOR,Norway,Beach Volleyball,1995-12-03,True
Gold ,LEITAO Iuri,Male,POR,Portugal,Cycling Track,1998-07-03,True
Gold ,OLIVEIRA Rui,Male,POR,Portugal,Cycling Track,1996-09-05,True
Silver ,CONSONNI Simone,Male,ITA,Italy,Cycling Track,1994-09-12,True
Silver ,VIVIANI Elia,Male,ITA,Italy,Cycling Track,1989-02-07,True
Bronze ,LARSEN Niklas,Male,DEN,Denmark,Cycling Track,1997-03-22,True
Bronze ,MOERKOEV Michael,Male,DEN,Denmark,Cycling Track,1985-04-30,True
Gold ,NAEHER Alyssa,Female,USA,United States,Football,1988-04-20,True
Gold ,FOX Emily,Female,USA,United States,Football,1998-07-05,True
Gold ,ALBERT Korbin,Female,USA,United States,Football,2003-10-13,True
Gold ,GIRMA Naomi,Female,USA,United States,Football,2000-06-14,True
Gold ,RODMAN Trinity,Female,USA,United States,Football,2002-05-20,True
Gold ,KRUEGER Casey,Female,USA,United States,Football,1990-08-23,True
Gold ,DUNN Crystal,Female,USA,United States,Football,1992-07-03,True
Gold ,WILLIAMS Lynn,Female,USA,United States,Football,1993-05-21,True
Gold ,SWANSON Mallory,Female,USA,United States,Football,1998-04-29,True
Gold ,HORAN Lindsey,Female,USA,United States,Football,1994-05-26,True
Gold ,SMITH Sophia,Female,USA,United States,Football,2000-08-10,True
Gold ,DAVIDSON Tierna,Female,USA,United States,Football,1998-09-19,True
Gold ,NIGHSWONGER Jenna,Female,USA,United States,Football,2000-11-28,True
Gold ,SONNETT Emily,Female,USA,United States,Football,1993-11-25,True
Gold ,SHAW Jaedyn,Female,USA,United States,Football,2004-11-20,True
Gold ,LAVELLE Rose,Female,USA,United States,Football,1995-05-14,True
Gold ,COFFEY Samantha,Female,USA,United States,Football,1998-12-31,True
Gold ,MURPHY Casey,Female,USA,United States,Football,1996-04-25,True
Gold ,BETHUNE Croix,Female,USA,United States,Football,2001-03-14,True
Gold ,SAMS Emily,Female,USA,United States,Football,1999-07-01,True
Silver ,LORENA,Female,BRA,Brazil,Football,1997-05-06,True
Silver ,ANTONIA,Female,BRA,Brazil,Football,1994-04-26,True
Silver ,TARCIANE,Female,BRA,Brazil,Football,2003-05-27,True
Silver ,RAFAELLE,Female,BRA,Brazil,Football,1991-06-18,True
Silver ,DUDA SAMPAIO,Female,BRA,Brazil,Football,2001-05-18,True
Silver ,TAMIRES,Female,BRA,Brazil,Football,1987-10-10,True
Silver ,KEROLIN,Female,BRA,Brazil,Football,1999-11-17,True
Silver ,VITORIA YAYA,Female,BRA,Brazil,Football,2002-01-23,True
Silver ,ADRIANA,Female,BRA,Brazil,Football,1996-11-17,True
Silver ,MARTA,Female,BRA,Brazil,Football,1986-02-19,True
Silver ,JHENIFFER,Female,BRA,Brazil,Football,2001-11-06,True
Silver ,TAINA,Female,BRA,Brazil,Football,1995-05-01,True
Silver ,YASMIM,Female,BRA,Brazil,Football,1996-10-28,True
Silver ,LUDMILA,Female,BRA,Brazil,Football,1994-12-01,True
Silver ,THAIS,Female,BRA,Brazil,Football,1996-05-01,True
Silver ,GABI NUNES,Female,BRA,Brazil,Football,1997-03-10,True
Silver ,ANA VITORIA,Female,BRA,Brazil,Football,2000-03-06,True
Silver ,GABI PORTILHO,Female,BRA,Brazil,Football,1995-07-18,True
Silver ,PRISCILA,Female,BRA,Brazil,Football,2004-08-22,True
Silver ,ANGELINA,Female,BRA,Brazil,Football,2000-01-26,True
Silver ,LAUREN,Female,BRA,Brazil,Football,2002-09-13,True
